ID,Exercise,Short YouTube Demonstration,In-Depth YouTube Explanation,Difficulty Level,Target Muscle Group ,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment ,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
687,Double Kettlebell Shrug,Video Demonstration,Video Explanation,Beginner,Trapezius ,Upper Trapezius,,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Scapular Elevation,,,Sagittal Plane,,,Upper Body,Pull,Isolation,Bilateral,Bodybuilding
688,Double Kettlebell Squat Clean,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,Hip Hinge,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
689,Double Kettlebell Hollow Body Hold,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,2.0,None,0,Supine,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
690,Ring Scapular Pull Up,Video Demonstration,,Intermediate,Back,Latissimus Dorsi,Rhomboids,,Gymnastic Rings,2.0,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
691,Bodyweight Side Lying Hip Adduction,Video Demonstration,Video Explanation,Beginner,Adductors,Adductor Magnus,,,Bodyweight,1.0,None,0,Side Lying,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Unsorted*
692,Superband Hollow Body Hold,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Superband,1.0,None,0,Supine,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
693,Suspension Y Raise,Video Demonstration,Video Explanation,Beginner,Shoulders,Posterior Deltoids,,,Suspension Trainer,1.0,None,0,Standing,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Unsorted*
694,Slider Single Leg Eccentric Hamstring Curl ,Video Demonstration,Video Explanation,Intermediate,Hamstrings,Biceps Femoris,Gluteus Maximus,,Sliders,1.0,None,0,Supine,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Pull,Isolation,Unilateral,Unsorted*
695,Barbell Reverse Grip Bench Press,Video Demonstration,Video Explanation,Intermediate,Chest,Pectoralis Major,,,Barbell,1.0,Bench (Flat),1,Supine,Double Arm,Continuous,Supinated,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
696,Double Dumbbell Reverse Grip Bench Press,Video Demonstration,Video Explanation,Novice,Chest,Pectoralis Major,,,Dumbbell,2.0,Bench (Flat),1,Supine,Double Arm,Continuous,Supinated,Above Chest,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
697,Side Plank Superband Hanging Adduction,Video Demonstration,,Intermediate,Adductors,Adductor Magnus,,,Superband,1.0,None,0,Side Plank,Single Arm,Continuous,Flat Palm,Other,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Isolation,Unilateral,Unsorted*
698,Single Arm Cable Seated Floor Lat Pulldown,Video Demonstration,,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Cable,1.0,None,0,Seated Floor,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
699,Single Arm Resistance Band Half Kneeling Cuban Press,,Video Explanation,Novice,Shoulders,Posterior Deltoids,,,Resistance Band,1.0,None,0,Half Kneeling,Single Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Shoulder External Rotation,Vertical Push,,Transverse Plane,,,Upper Body,Push & Pull,Compound,Unilateral,Unsorted*
700,Stability Ball Feet Elevated Frog Pump,Video Demonstration,,Novice,Glutes,Gluteus Maximus,,,Stability Ball,1.0,None,0,Supine,No Arms,Continuous,No Grip,No Load,Feet Elevated,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Unsorted*
701,Stability Ball Miniband Feet Elevated Frog Pump,,,Novice,Glutes,Gluteus Maximus,,,Stability Ball,1.0,Miniband,1,Supine,No Arms,Continuous,No Grip,No Load,Feet Elevated,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
702,Double Kettlebell Hollow Body Hold with Flutter Kicks,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,2.0,None,0,Supine,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
703,Barbell Overhead Cyclist Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1.0,Slant Board,1,Standing,Double Arm,Continuous,Pronated,Overhead,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
704,Barbell Front Rack Cyclist Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Barbell,1.0,Slant Board,1,Standing,Double Arm,Continuous,Pronated,Front Rack,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
705,Double Kettlebell Dead Clean to Push Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Vertical Push,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
706,Double Dumbbell Cuban Press,Video Demonstration,Video Explanation,Novice,Shoulders,Posterior Deltoids,,,Dumbbell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Shoulder External Rotation,Vertical Push,,Transverse Plane,,,Upper Body,Push & Pull,Compound,Bilateral,Unsorted*
707,Barbell Cyclist Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Barbell,1.0,Slant Board,1,Standing,Double Arm,Continuous,Pronated,Overhead,Heels Elevated,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Bilateral,Bodybuilding
708,Double Kettlebell Pendlay Row,Video Demonstration,,Novice,Back,Latissimus Dorsi,Biceps Brachii,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Bodybuilding
709,Alternating Single Arm Landmine Thruster,,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Landmine,1.0,None,0,Standing,Single Arm,Alternating,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
710,Single Arm Dumbbell Cyclist Thruster,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Dumbbell,1.0,Slant Board,1,Standing,Single Arm,Continuous,Neutral,Overhead,Heels Elevated,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
711,Alternating Single Arm Landmine Cyclist Thruster,,,Advanced,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Landmine,1.0,Slant Board,1,Standing,Single Arm,Alternating,Neutral,Overhead,Heels Elevated,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
712,Barbell Low Bar Cyclist Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Barbell,1.0,Slant Board,1,Standing,Double Arm,Continuous,Pronated,Back Rack,Heels Elevated,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
713,Double Kettlebell Front Rack Split Squat,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2.0,None,0,Split Squat,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
714,Double Kettlebell Front Rack Bulgarian Split Squat,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2.0,Bench (Flat),1,Single Leg Supported,Double Arm,Continuous,Neutral,Front Rack,Foot Elevated (Rear),Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
715,Double Kettlebell Overhead Squat,Video Demonstration,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Bilateral,Bodybuilding
716,Double Kettlebell Half Kneeling Overhead Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2.0,None,0,Half Kneeling,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Bodybuilding
717,Double Kettlebell Front Rack Reverse Lunge,Video Demonstration,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Unsorted*
718,Single Arm Kettlebell Overhead Contralateral Knee Over Toe Split Squat,,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Knee Over Toe Split Squat,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
719,Single Arm Kettlebell Dead Clean to Rotational Overhead Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Transverse Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
720,Single Arm Kettlebell Rotational Overhead Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Vertical Push,Spinal Rotational,,Transverse Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
721,Single Arm Kettlebell Sumo Deadlift,Video Demonstration,,Novice,Back,Latissimus Dorsi,Gluteus Maximus,Biceps Femoris,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Pull,Compound,Unilateral,Bodybuilding
722,Single Arm Kettlebell Front Rack Contralateral Knee Over Toe Split Squat,,,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Knee Over Toe Split Squat,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
723,Single Arm Kettlebell Push Press,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*
724,Double Kettlebell Push Jerk,Video Demonstration,,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*
725,Single Arm Kettlebell Z Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1.0,None,0,Seated Floor,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
726,Single Arm Kettlebell Contralateral Split Squat Thruster,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell,1.0,None,0,Split Squat,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Contralateral,Bodybuilding
727,Double Kettlebell Split Squat Thruster,,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell,2.0,None,0,Split Squat,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
728,Kettlebell Swing,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Kettlebell,1.0,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
729,Alternating Single Arm Kettlebell Swing,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
730,Alternating Single Arm Kettlebell Clean,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Neutral,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
731,Alternating Single Arm Kettlebell Snatch,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
732,Single Arm Kettlebell Sots Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Bodybuilding
733,Single Arm Kettlebell Bottoms Up Overhead Contralateral Knee Over Toe Split Squat,,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Knee Over Toe Split Squat,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Contralateral,Bodybuilding
734,Single Arm Kettlebell Staggered Stance Swing,Video Demonstration,Video Explanation,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1.0,None,0,Staggered Stance,Single Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
735,Alternating Single Arm Kettlebell Staggered Stance Swing,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1.0,None,0,Staggered Stance,Single Arm,Alternating,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
736,Single Arm Kettlebell Half Kneeling Swing,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,1.0,None,0,Half Kneeling,Single Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
737,Double Kettlebell Outside Swing,Video Demonstration,Video Explanation,Novice,Glutes,Gluteus Maximus,,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
738,Double Kettlebell Outside Half Snatch,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
739,Double Kettlebell Outside Clean,Video Demonstration,,Intermediate,Glutes,Gluteus Maximus,,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
740,Double Kettlebell Outside Clean and Press,,,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
741,Single Arm Kettlebell Side Swing,Video Demonstration,,Intermediate,Abdominals,Obliques,,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics
742,Kettlebell Feet Elevated Russian Twist,Video Demonstration,,Novice,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,1.0,None,0,Seated Floor,Double Arm,Continuous,Horn Grip,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
743,Single Arm Kettlebell Clean to Press Windmill,Video Demonstration,,Advanced,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Combo Exercise,Hip Hinge,Rotational,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Hybrid - Ballistics & Grinds
744,Single Arm Kettlebell Half Kneeling Windmill,Video Demonstration,Video Explanation,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,1.0,None,0,Half Kneeling,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Grinds
745,Double Kettlebell Front Rack Skater Squat,,Video Explanation,Expert,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2.0,None,0,Single Leg Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
746,Kettlebell Horn Grip Skater Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,1.0,None,0,Single Leg Standing,Double Arm,Continuous,Horn Grip,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
747,Double Kettlebell Front Rack Pistol Squat,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,,Kettlebell,2.0,None,0,Single Leg Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Balance
748,Double Kettlebell Renegade Row ,Video Demonstration,Video Explanation,Intermediate,Back,Latissimus Dorsi,,,Kettlebell,2.0,None,0,Prone,Double Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,Anti-Extension,,Sagittal Plane,,,Upper Body,Pull,Compound,Unilateral,Bodybuilding
749,Single Arm Kettlebell Hollow Body Hold with Flutter Kicks,Video Demonstration,,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1.0,None,0,Supine,Single Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
750,Double Kettlebell Renegade Row Push Up,Video Demonstration,,Intermediate,Back,Latissimus Dorsi,,,Kettlebell,2.0,None,0,Prone,Double Arm,Alternating,Neutral,Other,No Elevation,Single Exercise,Horizontal Pull,Horizontal Push,Anti-Extension,Sagittal Plane,,,Upper Body,Push & Pull,Compound,Unilateral,Bodybuilding
751,Double Kettlebell Clean to Overhead Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Bilateral,Ballistics
752,Kettlebell Alternating Halo to Goblet Squat,Video Demonstration,Video Explanation,Intermediate,Shoulders,Posterior Deltoids,Quadriceps Femoris,,Kettlebell,1.0,None,0,Standing,Double Arm,Continuous,Bottoms Up Horn Grip,Front Rack,No Elevation,Combo Exercise,Rotational,Knee Dominant,,Transverse Plane,,,Full Body,Push & Pull,Compound,Unilateral,Unsorted*
753,Single Arm Kettlebell Half Kneeling Contralateral Overhead Press,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,1.0,None,0,Half Kneeling,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Contralateral,Bodybuilding
754,Double Kettlebell Seesaw Press,Video Demonstration,Video Explanation,Novice,Shoulders,Anterior Deltoids,Triceps Brachii,,Kettlebell,2.0,None,0,Standing,Double Arm,Alternating,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Unilateral,Unsorted*
755,Single Arm Kettlebell Side to Side Swing,,Video Explanation,Intermediate,Abdominals,Rectus Abdominis,,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Full Body,Other,Compound,Unilateral,Ballistics
756,Single Arm Kettlebell Half Kneeling Clean to Windmill Press,Video Demonstration,Video Explanation,Advanced,Shoulders,Anterior Deltoids,Rectus Abdominis,,Kettlebell,1.0,None,0,Half Kneeling,Single Arm,Continuous,Neutral,Overhead,No Elevation,Combo Exercise,Rotational,,,Transverse Plane,,,Upper Body,Unsorted*,Compound,Unilateral,Hybrid - Ballistics & Grinds
757,Single Arm Kettlebell Bottoms Up Turkish Get Up,Video Demonstration,,Advanced,Abdominals,Obliques,Rectus Abdominis,,Kettlebell,1.0,None,0,Supine,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Rotational,Other,,Transverse Plane,Sagittal Plane,,Full Body,Other,Compound,Unilateral,Grinds
758,Single Arm Kettlebell Thruster,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
759,Alternating Double Kettlebell Thruster,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Quadriceps Femoris,,Kettlebell,2.0,None,0,Standing,Double Arm,Alternating,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,Knee Dominant,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Bodybuilding
760,Single Arm Kettlebell Bottoms Up Clean to Overhead Press,Video Demonstration,,Intermediate,Shoulders,Anterior Deltoids,Gluteus Maximus,,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Bottoms Up,Overhead,No Elevation,Combo Exercise,Hip Hinge,Vertical Push,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
761,Single Arm Kettlebell Tactical Snatch,Video Demonstration,Video Explanation,Advanced,Glutes,Gluteus Maximus,Anterior Deltoids ,,Kettlebell,1.0,None,0,Standing,Single Arm,Alternating,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Ballistics
762,Single Arm Kettlebell Snatch to Overhead Contralateral Reverse Lunge,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Contralateral,Ballistics
763,Double Kettlebell Snatch to Overhead Alternating Reverse Lunge,Video Demonstration,,Advanced,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
764,Single Arm Kettlebell Clean to Front Rack Contralateral Reverse Lunge,Video Demonstration,,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,1.0,None,0,Standing,Single Arm,Continuous,Neutral,Front Rack,No Elevation,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Contralateral,Ballistics
765,Double Kettlebell Clean to Front Rack Alternating Reverse Lunge,,Video Explanation,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Kettlebell,2.0,None,0,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Combo Exercise,Hip Hinge,Knee Dominant,,Sagittal Plane,,,Full Body,Unsorted*,Compound,Unilateral,Ballistics
766,Parallette Push Up to L Sit,Video Demonstration,,Advanced,Chest,Pectoralis Major,Rectus Abdominis,,Parallette Bars,2.0,None,0,Prone,Double Arm,Continuous,Neutral,No Load,No Elevation,Combo Exercise,Horizontal Push,Isometric Hold,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
767,Single Arm Kettlebell Split Jerk,Video Demonstration,Video Explanation,Intermediate,Shoulders,Anterior Deltoids,Triceps Brachii,Gluteus Minimus,Kettlebell,1.0,None,0,Staggered Stance,Single Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Vertical Push,Hip Hinge,,Sagittal Plane,,,Full Body,Push,Compound,Unilateral,Unsorted*
